"pig","experiment","compartment","pen","gender","bodyw_start","station","bodyw_mid","bodyw_end"
"222000945551","2","B.2","B3.2","barrow",20,"4",70,99
"222000945556","2","F.2","F3.2","barrow",21,"10",NA,NA
"222000945557","2","B.2","B3.2","barrow",20,"4",63,94
"222000945559","2","F.2","F3.2","barrow",17,"10",59,92
"222000945561","2","F.2","F2.2","barrow",19,"9",63,86
"222000945562","2","B.2","B2.2","barrow",21,"3",62,92
"222000945567","2","A.2","A2.2","barrow",22,"1",79,110
"222000945570","2","A.2","A2.2","barrow",21,"1",67,96
"222000945574","2","C.2","C2.2","barrow",20,"5",63,99
"222000945575","2","B.2","B2.2","barrow",24,"3",74,107
"222000945577","2","B.2","B2.2","barrow",22,"3",70,107
"222000945578","2","F.2","F2.2","barrow",16,"9",60,90
"222000945584","2","A.2","A2.2","barrow",19,"1",70,102
"222000945585","2","F.2","F3.2","barrow",20,"10",74,111
"222000945587","2","C.2","C2.2","barrow",24,"5",74,111
"222000945593","2","D.2","D2.2","barrow",20,"7",66,96
"222000945595","2","F.2","F2.2","barrow",23,"9",71,100
"222000945652","2","B.2","B3.2","barrow",24,"4",74,100
"222000945653","2","A.2","A2.2","barrow",25,"1",82,112
"222000945655","2","A.2","A3.2","barrow",27,"2",72,99
"222000945659","2","A.2","A3.2","barrow",25,"2",67,109
"222000945661","2","C.2","C2.2","barrow",31,"5",81,111
"222000945662","2","B.2","B2.2","barrow",20,"3",65,102
"222000945664","2","D.2","D2.2","barrow",25,"7",74,105
"222000945665","2","B.2","B3.2","barrow",32,"4",86,123
"222000945666","2","D.2","D3.2","barrow",26,"8",82,118
"222000945667","2","C.2","C3.2","barrow",23,"6",70,105
"222000945668","2","A.2","A3.2","barrow",29,"2",78,109
"222000945669","2","A.2","A3.2","barrow",32,"2",87,125
"222000945670","2","B.2","B2.2","barrow",32,"3",88,122
"222000945671","2","C.2","C3.2","barrow",33,"6",84,115
"222000945672","2","B.2","B3.2","barrow",27,"4",75,105
"222000945673","2","D.2","D2.2","barrow",24,"7",71,101
"222000945675","2","F.2","F2.2","barrow",24,"9",72,105
"222000945676","2","F.2","F3.2","barrow",22,"10",72,104
"222000945677","2","F.2","F2.2","barrow",22,"9",66,94
"222000945678","2","C.2","C2.2","barrow",23,"5",69,103
"222000945680","2","C.2","C2.2","barrow",21,"5",69,105
"222000945681","2","C.2","C3.2","boar",20,"6",62,94
"222000945683","2","A.2","A3.2","barrow",19,"2",60,89
"222000945685","2","D.2","D3.2","barrow with 1 testicle",24,"8",68,104
"222000945687","2","F.2","F2.2","barrow",17,"9",64,100
"222000945688","2","D.2","D2.2","barrow",21,"7",64,97
"222000945691","2","A.2","A2.2","barrow",21,"1",67,98
"222000945692","2","D.2","D3.2","barrow",24,"8",71,98
"222000945693","2","F.2","F3.2","barrow",23,"10",79,117
"222000945694","2","B.2","B3.2","barrow with 1 testicle",24,"4",67,96
"222000945695","2","D.2","D2.2","barrow",17,"7",66,101
"222000945697","2","B.2","B3.2","barrow",24,"4",66,94
"222000945698","2","A.2","A2.2","barrow",25,"1",75,105
"222000945700","2","A.2","A2.2","barrow",17,"1",67,95
"222000945701","2","C.2","C2.2","barrow",22,"5",69,97
"222000945704","2","D.2","D3.2","barrow",24,"8",67,100
"222000945705","2","F.2","F2.2","barrow",30,"9",85,118
"222000945707","2","A.2","A3.2","barrow",29,"2",80,108
"222000945708","2","C.2","C3.2","barrow",24,"6",65,96
"222000945709","2","D.2","D2.2","barrow",20,"7",71,103
"222000945710","2","F.2","F2.2","barrow",25,"9",84,114
"222000945712","2","B.2","B2.2","barrow",32,"3",82,112
"222000945715","2","D.2","D3.2","barrow",32,"8",80,105
"222000945718","2","F.2","F2.2","barrow",30,"9",88,116
"222000945719","2","C.2","C2.2","barrow",25,"5",71,109
"222000945721","2","F.2","F3.2","barrow",25,"10",78,112
"222000945722","2","C.2","C3.2","barrow",28,"6",82,118
"222000945723","2","A.2","A3.2","barrow",25,"2",75,110
"222000945724","2","C.2","C3.2","barrow",28,"6",83,118
"222000945725","2","A.2","A2.2","barrow",26,"1",NA,115
"222000945726","2","F.2","F3.2","barrow",27,"10",83,116
"222000945727","2","B.2","B2.2","barrow",25,"3",80,113
"222000945728","2","B.2","B3.2","barrow",25,"4",74,108
"222000945729","2","A.2","A3.2","barrow",25,"2",71,104
"222000945735","2","C.2","C3.2","barrow",26,"6",79,111
"222000945736","2","F.2","F2.2","barrow",33,"9",88,120
"222000945737","2","A.2","A2.2","barrow",31,"1",85,118
"222000945739","2","D.2","D2.2","barrow",20,"7",67,100
"222000945741","2","B.2","B3.2","barrow",31,"4",79,112
"222000945745","2","A.2","A2.2","barrow",19,"1",67,100
"222000945747","2","D.2","D3.2","barrow",27,"8",75,100
"222000945750","2","A.2","A3.2","barrow",23,"2",62,86
"222000945751","2","B.2","B2.2","barrow",34,"3",89,126
"222000945752","2","C.2","C3.2","barrow",27,"6",74,106
"222000945754","2","C.2","C3.2","barrow",26,"6",74,105
"222000945755","2","F.2","F3.2","barrow",29,"10",82,118
"222000945756","2","A.2","A3.2","barrow",30,"2",89,124
"222000945757","2","D.2","D3.2","barrow",27,"8",77,109
"222000945759","2","C.2","C2.2","barrow",31,"5",88,121
"222000945761","2","D.2","D2.2","barrow",21,"7",69,103
"222000945763","2","C.2","C3.2","barrow",20,"6",57,NA
"222000945764","2","C.2","C2.2","barrow",22,"5",71,115
"222000945765","2","C.2","C2.2","barrow",17,"5",60,96
"222000945769","2","B.2","B2.2","barrow",23,"3",73,111
"222000945770","2","D.2","D2.2","barrow",30,"7",90,130
"222000945773","2","B.2","B3.2","barrow",25,"4",75,103
"222000945774","2","D.2","D3.2","barrow",28,"8",85,113
"222000945775","2","D.2","D3.2","barrow",25,"8",72,99
"222000945776","2","D.2","D3.2","barrow",31,"8",80,105
"222000945777","2","B.2","B2.2","barrow",23,"3",77,117
"222000945778","2","A.2","A3.2","barrow",22,"2",67,100
"222000945781","2","B.2","B2.2","barrow",23,"3",71,102
"222000945782","2","F.2","F3.2","barrow",26,"10",NA,NA
"222000945783","2","F.2","F2.2","barrow",30,"9",76,102
"222000945783","2","F.2","F2.2","barrow",30,"9",76,102
"222000945785","2","D.2","D2.2","barrow",28,"7",79,114
"222000945787","2","B.2","B3.2","barrow",27,"4",80,117
"222000945789","2","D.2","D2.2","barrow",27,"7",71,101
"222000945790","2","C.2","C2.2","barrow",24,"5",69,100
"222000945792","2","F.2","F3.2","barrow",23,"10",69,108
"222000945793","2","D.2","D3.2","barrow",30,"8",78,107
"222000945797","2","A.2","A2.2","barrow",21,"1",68,100
"222000945798","2","F.2","F3.2","barrow",25,"10",71,103
