week,year,week_year,climate_type,avg_value,measurement_count,std_value,min_value,max_value,first_date,last_date
35,2021,2021_W35,Ammonia,13.535,6716,5.368,3.2,30.0,2021-08-30,2021-09-05
35,2021,2021_W35,CO2-01,2090.909,6716,471.264,412.4,4994.6,2021-08-30,2021-09-05
35,2021,2021_W35,Hum-01,73.679,6716,3.584,64.9,85.3,2021-08-30,2021-09-05
35,2021,2021_W35,Temp-01,26.746,6716,1.59,21.7,32.2,2021-08-30,2021-09-05
36,2021,2021_W36,Ammonia,10.284,6702,4.375,2.2,26.8,2021-09-06,2021-09-12
36,2021,2021_W36,CO2-01,1960.849,6702,316.441,1140.2,3018.9,2021-09-06,2021-09-12
36,2021,2021_W36,Hum-01,70.952,6702,2.995,61.8,80.4,2021-09-06,2021-09-12
36,2021,2021_W36,Temp-01,27.961,6702,1.134,24.8,31.2,2021-09-06,2021-09-12
37,2021,2021_W37,Ammonia,13.292,6718,4.077,3.9,27.8,2021-09-13,2021-09-19
37,2021,2021_W37,CO2-01,2243.23,6718,324.572,1353.1,3212.9,2021-09-13,2021-09-19
37,2021,2021_W37,Hum-01,73.073,6718,2.857,67.3,82.7,2021-09-13,2021-09-19
37,2021,2021_W37,Temp-01,27.08,6718,0.849,24.5,29.3,2021-09-13,2021-09-19
38,2021,2021_W38,Ammonia,15.332,6714,4.049,5.4,27.8,2021-09-20,2021-09-26
38,2021,2021_W38,CO2-01,2411.734,6714,383.341,1320.8,4037.7,2021-09-20,2021-09-26
38,2021,2021_W38,Hum-01,72.374,6714,3.379,66.6,83.0,2021-09-20,2021-09-26
38,2021,2021_W38,Temp-01,26.522,6714,0.892,23.7,28.9,2021-09-20,2021-09-26
39,2021,2021_W39,Ammonia,18.602,6716,4.145,6.8,30.2,2021-09-27,2021-10-03
39,2021,2021_W39,CO2-01,2515.896,6716,381.395,1477.1,3679.2,2021-09-27,2021-10-03
39,2021,2021_W39,Hum-01,73.495,6716,3.069,68.9,83.7,2021-09-27,2021-10-03
39,2021,2021_W39,Temp-01,26.19,6716,0.723,24.3,28.5,2021-09-27,2021-10-03
40,2021,2021_W40,Ammonia,22.877,6718,4.436,10.7,34.5,2021-10-04,2021-10-10
40,2021,2021_W40,CO2-01,2861.747,6718,370.608,1832.9,4269.5,2021-10-04,2021-10-10
40,2021,2021_W40,Hum-01,73.433,6718,3.169,68.2,85.6,2021-10-04,2021-10-10
