pig_id,total_intake_kg,weeks_recorded,bodyw_start,bodyw_end,bodyw_diff,FCR
222000946401,253.29,13,33.0,123.0,90.0,2.814
222000946404,217.78,13,23.0,110.0,87.0,2.503
222000946406,228.4,13,24.0,98.0,74.0,3.086
222000946407,172.82,13,23.0,96.0,73.0,2.367
222000946409,207.48,13,27.0,,,
222000946412,199.5,13,20.0,94.0,74.0,2.696
222000946415,189.75,13,22.0,91.0,69.0,2.75
222000946418,296.86,13,24.0,114.0,90.0,3.298
222000946419,218.56,13,26.0,112.0,86.0,2.541
222000946420,260.5,13,28.0,111.0,83.0,3.139
222000946421,207.19,13,26.0,117.0,91.0,2.277
222000946422,221.02,13,23.0,100.0,77.0,2.87
222000946430,227.28,13,28.0,107.0,79.0,2.877
222000946433,630.75,13,25.0,115.0,90.0,7.008
222000946434,213.08,13,24.0,104.0,80.0,2.664
222000946435,217.42,13,23.0,98.0,75.0,2.899
222000946437,243.98,13,30.0,104.0,74.0,3.297
222000946439,261.09,13,27.0,124.0,97.0,2.692
222000946440,241.4,13,26.0,108.0,82.0,2.944
222000946441,231.27,13,25.0,107.0,82.0,2.82
222000946442,263.93,13,26.0,125.0,99.0,2.666
222000946447,263.91,13,32.0,120.0,88.0,2.999
222000946453,184.5,13,23.0,85.0,62.0,2.976
222000946455,206.55,13,26.0,105.0,79.0,2.615
222000946456,227.97,13,29.0,120.0,91.0,2.505
222000946460,232.2,13,26.0,97.0,71.0,3.27
222000946463,215.53,13,25.0,111.0,86.0,2.506
222000946471,205.73,13,27.0,106.0,79.0,2.604
222000946472,177.49,13,22.0,88.0,66.0,2.689
222000946473,271.44,13,35.0,135.0,100.0,2.714
222000946475,196.87,13,23.0,97.0,74.0,2.66
222000946476,277.15,13,27.0,122.0,95.0,2.917
222000946477,259.61,13,,,,
222000946479,201.47,13,25.0,100.0,75.0,2.686
222000946480,212.61,13,25.0,102.0,77.0,2.761
222000946481,462.14,13,23.0,110.0,87.0,5.312
222000946482,246.58,13,22.0,102.0,80.0,3.082
222000946485,239.96,13,29.0,111.0,82.0,2.926
222000946489,247.33,13,33.0,123.0,90.0,2.748
222000946490,322.25,13,25.0,111.0,86.0,3.747
222000946491,301.24,13,28.0,123.0,95.0,3.171
222000946493,228.52,13,35.0,125.0,90.0,2.539
222000946494,238.46,13,25.0,101.0,76.0,3.138
222000946497,276.75,13,28.0,121.0,93.0,2.976
222000946499,232.49,13,27.0,118.0,91.0,2.555
222000946503,226.49,13,25.0,109.0,84.0,2.696
222000946505,290.75,13,28.0,112.0,84.0,3.461
222000946506,256.69,13,24.0,115.0,91.0,2.821
222000946508,242.91,13,23.0,106.0,83.0,2.927
222000946509,250.53,13,30.0,126.0,96.0,2.61
222000946511,222.65,13,28.0,103.0,75.0,2.969
222000946514,229.56,13,26.0,97.0,71.0,3.233
222000946516,204.83,13,22.0,102.0,80.0,2.56
222000946517,242.19,13,23.0,108.0,85.0,2.849
222000946519,282.35,13,29.0,125.0,96.0,2.941
222000946520,207.9,13,22.0,90.0,68.0,3.057
222000946521,198.54,13,26.0,95.0,69.0,2.877
222000946522,218.77,13,25.0,105.0,80.0,2.735
222000946523,324.6,13,25.0,110.0,85.0,3.819
222000946524,222.31,13,29.0,106.0,77.0,2.887
222000946526,239.25,13,26.0,118.0,92.0,2.601
222000946528,234.91,13,23.0,109.0,86.0,2.732
222000946530,240.44,13,22.0,107.0,85.0,2.829
222000946532,264.41,13,25.0,119.0,94.0,2.813
222000946535,201.37,13,22.0,87.0,65.0,3.098
222000946536,239.89,13,33.0,110.0,77.0,3.115
222000946537,255.83,13,27.0,107.0,80.0,3.198
222000946539,209.53,13,25.0,110.0,85.0,2.465
222000946540,190.47,13,21.0,106.0,85.0,2.241
222000946541,196.75,13,22.0,95.0,73.0,2.695
222000946546,208.41,13,24.0,115.0,91.0,2.29
222000946549,257.46,13,30.0,113.0,83.0,3.102
222000946550,225.0,13,32.0,112.0,80.0,2.812
222000946552,231.91,13,25.0,114.0,89.0,2.606
222000946554,229.45,13,23.0,109.0,86.0,2.668
222000946556,230.7,13,29.0,119.0,90.0,2.563
222000946558,189.36,13,24.0,91.0,67.0,2.826
222000946559,245.61,13,23.0,108.0,85.0,2.89
222000946560,264.77,13,34.0,120.0,86.0,3.079
222000946561,222.7,13,26.0,108.0,82.0,2.716
222000946562,256.11,13,25.0,108.0,83.0,3.086
222000946563,215.19,13,25.0,104.0,79.0,2.724
222000946568,250.27,13,24.0,111.0,87.0,2.877
222000946569,233.44,13,27.0,116.0,89.0,2.623
222000946570,195.94,13,26.0,97.0,71.0,2.76
222000946573,215.31,13,25.0,110.0,85.0,2.533
222000946574,235.89,13,27.0,116.0,89.0,2.65
222000946576,243.82,13,25.0,109.0,84.0,2.903
222000946577,245.52,13,23.0,124.0,101.0,2.431
222000946578,186.49,13,23.0,98.0,75.0,2.487
222000946580,193.71,13,24.0,96.0,72.0,2.69
222000946583,214.44,13,22.0,100.0,78.0,2.749
222000946585,246.58,13,36.0,121.0,85.0,2.901
222000946586,261.59,13,28.0,115.0,87.0,3.007
222000946588,271.77,13,28.0,118.0,90.0,3.02
222000946589,263.5,13,26.0,115.0,89.0,2.961
222000946590,209.86,13,24.0,106.0,82.0,2.559
222000946593,277.3,13,26.0,111.0,85.0,3.262
222000946595,222.35,13,25.0,107.0,82.0,2.712
222000946596,313.54,13,24.0,93.0,69.0,4.544
222000946597,262.67,13,25.0,105.0,80.0,3.283
222000946598,224.52,13,22.0,106.0,84.0,2.673
222000946600,314.89,13,29.0,125.0,96.0,3.28
