week,year,week_year,climate_type,avg_value,measurement_count,std_value,min_value,max_value,first_date,last_date
37,2022,2022_W37,Ammonia,25.585,3560,13.991,11.0,110.4,2022-09-15,2022-09-18
37,2022,2022_W37,CO2-01,2824.981,2848,451.025,1665.8,6320.8,2022-09-15,2022-09-18
37,2022,2022_W37,Hum-01,83.247,3232,7.044,68.5,100.2,2022-09-15,2022-09-18
37,2022,2022_W37,Temp-01,26.429,3560,1.664,23.7,32.0,2022-09-15,2022-09-18
38,2022,2022_W38,Ammonia,21.015,6710,17.077,6.4,110.4,2022-09-19,2022-09-25
38,2022,2022_W38,CO2-01,2789.1,5368,438.539,1417.8,3873.3,2022-09-19,2022-09-25
38,2022,2022_W38,Hum-01,81.396,6710,7.083,72.9,100.2,2022-09-19,2022-09-25
38,2022,2022_W38,Temp-01,25.706,6710,1.061,22.5,28.0,2022-09-19,2022-09-25
39,2022,2022_W39,Ammonia,18.426,6720,4.964,6.2,29.2,2022-09-26,2022-10-02
39,2022,2022_W39,CO2-01,2848.348,5376,626.264,13.5,4315.4,2022-09-26,2022-10-02
39,2022,2022_W39,Hum-01,79.527,6720,5.43,71.3,90.9,2022-09-26,2022-10-02
39,2022,2022_W39,Temp-01,25.852,6720,1.071,22.3,28.1,2022-09-26,2022-10-02
40,2022,2022_W40,Ammonia,18.966,6702,3.84,7.3,30.1,2022-10-03,2022-10-09
40,2022,2022_W40,CO2-01,2819.067,5368,429.231,13.5,3986.5,2022-10-03,2022-10-09
40,2022,2022_W40,Hum-01,77.145,6702,2.593,72.2,84.9,2022-10-03,2022-10-09
40,2022,2022_W40,Temp-01,26.577,6702,0.859,22.6,28.8,2022-10-03,2022-10-09
41,2022,2022_W41,Ammonia,19.708,6718,3.367,11.0,29.5,2022-10-10,2022-10-16
41,2022,2022_W41,CO2-01,2952.17,5376,551.4,13.5,4789.8,2022-10-10,2022-10-16
41,2022,2022_W41,Hum-01,77.713,6718,2.157,73.6,85.0,2022-10-10,2022-10-16
41,2022,2022_W41,Temp-01,26.45,6718,0.711,24.1,28.1,2022-10-10,2022-10-16
42,2022,2022_W42,Ammonia,21.223,6710,3.666,9.4,32.0,2022-10-17,2022-10-23
42,2022,2022_W42,CO2-01,2361.807,5368,954.289,8.1,4827.5,2022-10-17,2022-10-23
42,2022,2022_W42,Hum-01,77.963,6710,2.291,71.8,85.2,2022-10-17,2022-10-23
42,2022,2022_W42,Temp-01,26.564,6710,0.655,24.9,28.3,2022-10-17,2022-10-23
43,2022,2022_W43,Ammonia,18.793,6720,3.969,8.3,31.0,2022-10-24,2022-10-30
43,2022,2022_W43,CO2-01,2121.269,4992,416.568,0.0,3587.6,2022-10-24,2022-10-30
43,2022,2022_W43,Hum-01,75.998,6720,1.777,71.3,80.5,2022-10-24,2022-10-30
43,2022,2022_W43,Temp-01,26.755,6720,0.59,25.0,28.6,2022-10-24,2022-10-30
44,2022,2022_W44,Ammonia,22.223,6710,3.421,12.3,31.8,2022-10-31,2022-11-06
44,2022,2022_W44,CO2-01,2680.763,4026,435.13,1749.3,3970.4,2022-10-31,2022-11-06
44,2022,2022_W44,Hum-01,75.253,6710,2.274,70.7,80.9,2022-10-31,2022-11-06
44,2022,2022_W44,Temp-01,25.781,6710,0.566,23.9,27.3,2022-10-31,2022-11-06
45,2022,2022_W45,Ammonia,23.165,6720,4.059,13.1,33.5,2022-11-07,2022-11-13
45,2022,2022_W45,CO2-01,2896.679,4032,538.921,1830.2,4533.7,2022-11-07,2022-11-13
45,2022,2022_W45,Hum-01,75.52,6720,2.471,71.5,82.5,2022-11-07,2022-11-13
45,2022,2022_W45,Temp-01,25.454,6720,0.618,23.7,27.0,2022-11-07,2022-11-13
46,2022,2022_W46,Ammonia,25.951,6708,4.007,14.1,36.4,2022-11-14,2022-11-20
46,2022,2022_W46,CO2-01,3442.508,4026,704.241,2029.7,5299.2,2022-11-14,2022-11-20
46,2022,2022_W46,Hum-01,77.157,6708,3.012,71.9,87.2,2022-11-14,2022-11-20
46,2022,2022_W46,Temp-01,24.773,6708,0.845,21.6,26.5,2022-11-14,2022-11-20
47,2022,2022_W47,Ammonia,24.534,6720,4.306,12.7,38.9,2022-11-21,2022-11-27
47,2022,2022_W47,CO2-01,3571.575,4032,563.101,2320.8,5194.1,2022-11-21,2022-11-27
47,2022,2022_W47,Hum-01,77.653,6720,3.273,72.5,86.6,2022-11-21,2022-11-27
47,2022,2022_W47,Temp-01,24.68,6720,0.887,22.7,26.4,2022-11-21,2022-11-27
48,2022,2022_W48,Ammonia,26.577,6716,5.725,13.2,38.7,2022-11-28,2022-12-04
48,2022,2022_W48,CO2-01,3700.565,4032,604.418,2342.3,5994.6,2022-11-28,2022-12-04
48,2022,2022_W48,Hum-01,77.415,6716,3.808,70.1,88.1,2022-11-28,2022-12-04
48,2022,2022_W48,Temp-01,24.361,6716,1.072,21.8,26.6,2022-11-28,2022-12-04
49,2022,2022_W49,Ammonia,29.479,1920,2.265,22.7,37.1,2022-12-05,2022-12-06
49,2022,2022_W49,CO2-01,3718.258,1152,510.012,2706.2,4981.1,2022-12-05,2022-12-06
49,2022,2022_W49,Hum-01,78.207,1920,3.16,72.6,86.3,2022-12-05,2022-12-06
49,2022,2022_W49,Temp-01,24.677,1920,0.782,21.6,26.3,2022-12-05,2022-12-06
