pig_id,week,year,week_year,total_weekly_intake,feeding_sessions,avg_intake_per_session,first_date,last_date,feeding_days,stations_used,first_feeding_time,last_feeding_time,total_duration_seconds,date_range,total_duration_minutes,weekly_weight_gain
222000946401,37,2022,2022_W37,6.64,86,0.077,2022-09-15,2022-09-18,4,[3],2022-09-15 20:43:31,2022-09-18 23:21:24,19910,2022-09-15 to 2022-09-18,331.8,2.36
222000946401,38,2022,2022_W38,14.27,177,0.081,2022-09-19,2022-09-25,7,[3],2022-09-19 00:25:00,2022-09-25 20:29:33,45433,2022-09-19 to 2022-09-25,757.2,5.071
222000946401,39,2022,2022_W39,17.75,160,0.111,2022-09-26,2022-10-02,7,[3],2022-09-26 02:34:28,2022-10-02 22:47:07,51673,2022-09-26 to 2022-10-02,861.2,6.308
222000946401,40,2022,2022_W40,17.51,168,0.104,2022-10-03,2022-10-09,7,[3],2022-10-03 01:47:15,2022-10-09 23:27:17,48406,2022-10-03 to 2022-10-09,806.8,6.222
222000946401,41,2022,2022_W41,20.82,170,0.122,2022-10-10,2022-10-16,7,[3],2022-10-10 00:29:44,2022-10-16 21:58:39,49711,2022-10-10 to 2022-10-16,828.5,7.399
222000946401,42,2022,2022_W42,21.17,114,0.186,2022-10-17,2022-10-23,7,[3],2022-10-17 00:29:10,2022-10-23 22:19:17,39780,2022-10-17 to 2022-10-23,663.0,7.523
222000946401,43,2022,2022_W43,21.82,104,0.21,2022-10-24,2022-10-30,7,[3],2022-10-24 09:15:46,2022-10-30 22:04:41,34965,2022-10-24 to 2022-10-30,582.8,7.754
222000946401,44,2022,2022_W44,22.33,90,0.248,2022-10-31,2022-11-06,7,[3],2022-10-31 07:06:36,2022-11-06 17:58:03,33477,2022-10-31 to 2022-11-06,558.0,7.935
222000946401,45,2022,2022_W45,24.07,101,0.238,2022-11-07,2022-11-13,7,[3],2022-11-07 02:45:57,2022-11-13 20:58:16,30284,2022-11-07 to 2022-11-13,504.7,8.554
222000946401,46,2022,2022_W46,24.45,102,0.24,2022-11-14,2022-11-20,7,[3],2022-11-14 08:20:31,2022-11-20 20:39:02,33397,2022-11-14 to 2022-11-20,556.6,8.689
222000946401,47,2022,2022_W47,28.24,104,0.272,2022-11-21,2022-11-27,7,[3],2022-11-21 02:32:56,2022-11-27 22:53:18,38661,2022-11-21 to 2022-11-27,644.4,10.036
222000946401,48,2022,2022_W48,26.96,81,0.333,2022-11-28,2022-12-04,7,[3],2022-11-28 05:56:27,2022-12-04 18:38:24,33264,2022-11-28 to 2022-12-04,554.4,9.581
222000946401,49,2022,2022_W49,7.26,19,0.382,2022-12-05,2022-12-06,2,[3],2022-12-05 04:33:44,2022-12-06 19:01:12,9163,2022-12-05 to 2022-12-06,152.7,2.58
222000946404,37,2022,2022_W37,3.42,103,0.033,2022-09-16,2022-09-18,3,[6],2022-09-16 06:01:22,2022-09-18 20:46:59,13944,2022-09-16 to 2022-09-18,232.4,1.366
222000946404,38,2022,2022_W38,11.55,181,0.064,2022-09-19,2022-09-25,7,[6],2022-09-19 02:44:30,2022-09-25 23:47:20,32184,2022-09-19 to 2022-09-25,536.4,4.614
222000946404,39,2022,2022_W39,14.21,183,0.078,2022-09-26,2022-10-02,7,[6],2022-09-26 03:05:44,2022-10-02 23:58:00,29134,2022-09-26 to 2022-10-02,485.6,5.677
222000946404,40,2022,2022_W40,19.42,154,0.126,2022-10-03,2022-10-09,7,[6],2022-10-03 01:40:55,2022-10-09 23:22:57,30905,2022-10-03 to 2022-10-09,515.1,7.759
222000946404,41,2022,2022_W41,18.44,154,0.12,2022-10-10,2022-10-16,7,[6],2022-10-10 00:24:55,2022-10-16 22:25:24,31444,2022-10-10 to 2022-10-16,524.1,7.367
222000946404,42,2022,2022_W42,17.79,164,0.108,2022-10-17,2022-10-23,7,[6],2022-10-17 02:10:35,2022-10-23 22:59:27,26769,2022-10-17 to 2022-10-23,446.2,7.107
222000946404,43,2022,2022_W43,17.73,191,0.093,2022-10-24,2022-10-30,7,[6],2022-10-24 03:46:52,2022-10-30 22:39:22,24005,2022-10-24 to 2022-10-30,400.1,7.083
222000946404,44,2022,2022_W44,19.85,126,0.158,2022-10-31,2022-11-06,7,[6],2022-10-31 03:52:13,2022-11-06 22:17:20,25949,2022-10-31 to 2022-11-06,432.5,7.93
222000946404,45,2022,2022_W45,20.37,176,0.116,2022-11-07,2022-11-13,7,[6],2022-11-07 00:00:59,2022-11-13 18:54:03,26637,2022-11-07 to 2022-11-13,444.0,8.138
222000946404,46,2022,2022_W46,21.71,109,0.199,2022-11-14,2022-11-20,7,[6],2022-11-14 01:05:25,2022-11-20 16:59:30,25958,2022-11-14 to 2022-11-20,432.6,8.674
222000946404,47,2022,2022_W47,23.3,119,0.196,2022-11-21,2022-11-27,7,[6],2022-11-21 00:03:01,2022-11-27 23:25:02,28840,2022-11-21 to 2022-11-27,480.7,9.309
222000946404,48,2022,2022_W48,23.31,112,0.208,2022-11-28,2022-12-04,7,[6],2022-11-28 00:18:12,2022-12-04 23:13:45,28794,2022-11-28 to 2022-12-04,479.9,9.313
222000946404,49,2022,2022_W49,6.68,59,0.113,2022-12-05,2022-12-07,3,[6],2022-12-05 08:15:35,2022-12-07 17:32:48,8421,2022-12-05 to 2022-12-07,140.4,2.669
222000946406,37,2022,2022_W37,5.52,71,0.078,2022-09-15,2022-09-18,4,[2],2022-09-15 22:53:53,2022-09-18 23:22:29,13541,2022-09-15 to 2022-09-18,225.7,1.789
222000946406,38,2022,2022_W38,11.9,153,0.078,2022-09-19,2022-09-25,7,[2],2022-09-19 03:32:12,2022-09-25 19:40:43,29265,2022-09-19 to 2022-09-25,487.8,3.856
222000946406,39,2022,2022_W39,13.44,123,0.109,2022-09-26,2022-10-02,7,[2],2022-09-26 02:21:03,2022-10-02 23:13:30,28848,2022-09-26 to 2022-10-02,480.8,4.355
222000946406,40,2022,2022_W40,15.0,121,0.124,2022-10-03,2022-10-09,7,[2],2022-10-03 04:19:19,2022-10-09 22:28:58,27023,2022-10-03 to 2022-10-09,450.4,4.861
222000946406,41,2022,2022_W41,19.52,196,0.1,2022-10-10,2022-10-16,7,[2],2022-10-10 00:10:36,2022-10-16 21:43:03,28206,2022-10-10 to 2022-10-16,470.1,6.325
222000946406,42,2022,2022_W42,16.41,198,0.083,2022-10-17,2022-10-23,7,[2],2022-10-17 02:51:50,2022-10-23 18:51:36,24061,2022-10-17 to 2022-10-23,401.0,5.318
222000946406,43,2022,2022_W43,14.45,116,0.125,2022-10-24,2022-10-30,7,[2],2022-10-24 08:11:24,2022-10-30 18:42:58,23813,2022-10-24 to 2022-10-30,396.9,4.682
222000946406,44,2022,2022_W44,18.6,156,0.119,2022-10-31,2022-11-06,7,[2],2022-10-31 04:14:30,2022-11-06 22:55:23,28353,2022-10-31 to 2022-11-06,472.6,6.027
222000946406,45,2022,2022_W45,17.9,122,0.147,2022-11-07,2022-11-13,7,[2],2022-11-07 06:09:26,2022-11-13 18:45:37,26311,2022-11-07 to 2022-11-13,438.5,5.8
222000946406,46,2022,2022_W46,18.27,103,0.177,2022-11-14,2022-11-20,7,[2],2022-11-14 03:23:15,2022-11-20 22:56:29,26168,2022-11-14 to 2022-11-20,436.1,5.92
222000946406,47,2022,2022_W47,24.76,92,0.269,2022-11-21,2022-11-27,7,[2],2022-11-21 11:13:36,2022-11-27 20:37:50,30911,2022-11-21 to 2022-11-27,515.2,8.023
222000946406,48,2022,2022_W48,40.18,103,0.39,2022-11-28,2022-12-04,7,[2],2022-11-28 00:36:42,2022-12-04 23:21:25,31329,2022-11-28 to 2022-12-04,522.2,13.02
222000946406,49,2022,2022_W49,12.45,36,0.346,2022-12-05,2022-12-07,3,[2],2022-12-05 10:11:42,2022-12-07 16:49:44,9134,2022-12-05 to 2022-12-07,152.2,4.034
222000946407,37,2022,2022_W37,2.3,44,0.052,2022-09-15,2022-09-18,4,[6],2022-09-15 19:37:31,2022-09-18 21:59:59,13350,2022-09-15 to 2022-09-18,222.5,0.972
222000946407,38,2022,2022_W38,8.34,128,0.065,2022-09-19,2022-09-25,7,[6],2022-09-19 00:10:13,2022-09-26 00:01:06,34393,2022-09-19 to 2022-09-25,573.2,3.523
222000946407,39,2022,2022_W39,10.63,126,0.084,2022-09-26,2022-10-02,7,[6],2022-09-26 01:10:55,2022-10-02 23:20:07,36101,2022-09-26 to 2022-10-02,601.7,4.491
222000946407,40,2022,2022_W40,11.55,112,0.103,2022-10-03,2022-10-09,7,[6],2022-10-03 00:52:47,2022-10-09 21:35:36,33330,2022-10-03 to 2022-10-09,555.5,4.88
222000946407,41,2022,2022_W41,13.51,103,0.131,2022-10-10,2022-10-16,7,[6],2022-10-10 00:00:18,2022-10-16 22:06:50,32011,2022-10-10 to 2022-10-16,533.5,5.708
222000946407,42,2022,2022_W42,13.71,112,0.122,2022-10-17,2022-10-23,7,[6],2022-10-17 01:29:41,2022-10-23 22:30:47,26601,2022-10-17 to 2022-10-23,443.4,5.792
222000946407,43,2022,2022_W43,15.18,104,0.146,2022-10-24,2022-10-30,7,[6],2022-10-24 01:33:49,2022-10-30 23:42:50,28779,2022-10-24 to 2022-10-30,479.6,6.413
222000946407,44,2022,2022_W44,14.82,88,0.168,2022-10-31,2022-11-06,7,[6],2022-10-31 06:45:38,2022-11-06 22:37:52,28542,2022-10-31 to 2022-11-06,475.7,6.261
222000946407,45,2022,2022_W45,16.2,101,0.16,2022-11-07,2022-11-13,7,[6],2022-11-07 00:49:54,2022-11-13 23:20:17,27702,2022-11-07 to 2022-11-13,461.7,6.844
222000946407,46,2022,2022_W46,13.3,82,0.162,2022-11-14,2022-11-20,7,[6],2022-11-14 05:08:38,2022-11-20 21:55:13,30306,2022-11-14 to 2022-11-20,505.1,5.619
222000946407,47,2022,2022_W47,19.36,103,0.188,2022-11-21,2022-11-27,7,[6],2022-11-21 00:21:38,2022-11-28 00:01:18,37722,2022-11-21 to 2022-11-27,628.7,8.179
222000946407,48,2022,2022_W48,18.41,95,0.194,2022-11-28,2022-12-04,7,[6],2022-11-28 00:02:37,2022-12-04 22:39:33,35418,2022-11-28 to 2022-12-04,590.3,7.778
222000946407,49,2022,2022_W49,15.51,139,0.112,2022-12-05,2022-12-10,6,[6],2022-12-05 05:59:54,2022-12-10 22:10:03,29082,2022-12-05 to 2022-12-10,484.7,6.553
222000946409,37,2022,2022_W37,4.84,57,0.085,2022-09-15,2022-09-18,4,[2],2022-09-15 21:00:29,2022-09-18 21:04:45,9370,2022-09-15 to 2022-09-18,156.2,
222000946409,38,2022,2022_W38,12.32,131,0.094,2022-09-19,2022-09-25,7,[2],2022-09-19 00:45:12,2022-09-25 22:53:39,21986,2022-09-19 to 2022-09-25,366.4,
222000946409,39,2022,2022_W39,14.35,145,0.099,2022-09-26,2022-10-02,7,[2],2022-09-26 00:14:31,2022-10-02 21:25:00,21723,2022-09-26 to 2022-10-02,362.0,
222000946409,40,2022,2022_W40,15.82,178,0.089,2022-10-03,2022-10-09,7,[2],2022-10-03 01:00:07,2022-10-09 23:37:50,20276,2022-10-03 to 2022-10-09,337.9,
222000946409,41,2022,2022_W41,14.11,210,0.067,2022-10-10,2022-10-16,7,[2],2022-10-10 03:36:40,2022-10-16 22:04:09,18843,2022-10-10 to 2022-10-16,314.0,
222000946409,42,2022,2022_W42,14.05,193,0.073,2022-10-17,2022-10-23,7,[2],2022-10-17 01:17:56,2022-10-23 23:29:04,16543,2022-10-17 to 2022-10-23,275.7,
222000946409,43,2022,2022_W43,16.19,188,0.086,2022-10-24,2022-10-30,7,[2],2022-10-24 03:13:55,2022-10-30 20:02:11,16039,2022-10-24 to 2022-10-30,267.3,
222000946409,44,2022,2022_W44,18.06,202,0.089,2022-10-31,2022-11-06,7,[2],2022-10-31 01:06:50,2022-11-06 20:02:28,15807,2022-10-31 to 2022-11-06,263.4,
222000946409,45,2022,2022_W45,20.21,148,0.137,2022-11-07,2022-11-13,7,[2],2022-11-07 00:08:14,2022-11-13 22:51:35,16125,2022-11-07 to 2022-11-13,268.8,
222000946409,46,2022,2022_W46,19.78,124,0.16,2022-11-14,2022-11-20,7,[2],2022-11-14 10:59:14,2022-11-20 22:10:08,19802,2022-11-14 to 2022-11-20,330.0,
222000946409,47,2022,2022_W47,23.49,139,0.169,2022-11-21,2022-11-27,7,[2],2022-11-21 04:56:17,2022-11-27 23:53:28,22762,2022-11-21 to 2022-11-27,379.4,
222000946409,48,2022,2022_W48,25.64,172,0.149,2022-11-28,2022-12-04,7,[2],2022-11-28 06:07:51,2022-12-04 19:46:53,24310,2022-11-28 to 2022-12-04,405.2,
222000946409,49,2022,2022_W49,8.62,51,0.169,2022-12-05,2022-12-07,3,[2],2022-12-05 01:35:54,2022-12-07 17:14:52,7259,2022-12-05 to 2022-12-07,121.0,
222000946412,37,2022,2022_W37,4.05,81,0.05,2022-09-15,2022-09-18,4,[6],2022-09-15 19:39:17,2022-09-18 22:50:14,18136,2022-09-15 to 2022-09-18,302.3,1.502
222000946412,38,2022,2022_W38,11.22,139,0.081,2022-09-19,2022-09-25,7,[6],2022-09-19 03:05:19,2022-09-25 20:55:18,38046,2022-09-19 to 2022-09-25,634.1,4.162
222000946412,39,2022,2022_W39,14.22,169,0.084,2022-09-26,2022-10-02,7,[6],2022-09-26 03:08:48,2022-10-02 23:51:56,37649,2022-09-26 to 2022-10-02,627.5,5.274
222000946412,40,2022,2022_W40,12.78,156,0.082,2022-10-03,2022-10-09,7,[6],2022-10-03 07:06:04,2022-10-09 18:16:18,31936,2022-10-03 to 2022-10-09,532.3,4.74
222000946412,41,2022,2022_W41,13.48,143,0.094,2022-10-10,2022-10-16,7,[6],2022-10-10 05:55:54,2022-10-16 21:27:29,29744,2022-10-10 to 2022-10-16,495.7,5.0
222000946412,42,2022,2022_W42,13.75,151,0.091,2022-10-17,2022-10-23,7,[6],2022-10-17 01:23:55,2022-10-23 19:21:55,31320,2022-10-17 to 2022-10-23,522.0,5.1
222000946412,43,2022,2022_W43,15.24,136,0.112,2022-10-24,2022-10-30,7,[6],2022-10-24 01:11:52,2022-10-30 20:22:14,31469,2022-10-24 to 2022-10-30,524.5,5.653
222000946412,44,2022,2022_W44,15.16,132,0.115,2022-10-31,2022-11-06,7,[6],2022-10-31 06:59:14,2022-11-06 20:26:38,29415,2022-10-31 to 2022-11-06,490.2,5.623
222000946412,45,2022,2022_W45,17.74,128,0.139,2022-11-07,2022-11-13,7,[6],2022-11-07 06:21:13,2022-11-13 18:26:35,30190,2022-11-07 to 2022-11-13,503.2,6.58
222000946412,46,2022,2022_W46,20.36,143,0.142,2022-11-14,2022-11-20,7,[6],2022-11-14 00:43:11,2022-11-20 23:52:58,31093,2022-11-14 to 2022-11-20,518.2,7.552
222000946412,47,2022,2022_W47,23.64,92,0.257,2022-11-21,2022-11-27,7,[6],2022-11-21 04:16:45,2022-11-27 22:02:32,33444,2022-11-21 to 2022-11-27,557.4,8.769
222000946412,48,2022,2022_W48,17.94,81,0.221,2022-11-28,2022-12-04,7,[6],2022-11-28 06:31:40,2022-12-04 21:35:48,25721,2022-11-28 to 2022-12-04,428.7,6.654
222000946412,49,2022,2022_W49,19.92,91,0.219,2022-12-05,2022-12-10,6,[6],2022-12-05 07:00:53,2022-12-10 22:22:37,27366,2022-12-05 to 2022-12-10,456.1,7.389
222000946415,37,2022,2022_W37,3.5,93,0.038,2022-09-15,2022-09-18,4,[3],2022-09-15 20:45:57,2022-09-18 23:55:55,12832,2022-09-15 to 2022-09-18,213.9,1.273
222000946415,38,2022,2022_W38,8.19,172,0.048,2022-09-19,2022-09-25,7,[3],2022-09-19 02:37:02,2022-09-25 23:54:49,28592,2022-09-19 to 2022-09-25,476.5,2.978
222000946415,39,2022,2022_W39,11.14,149,0.075,2022-09-26,2022-10-02,7,[3],2022-09-26 01:58:47,2022-10-02 23:30:41,35498,2022-09-26 to 2022-10-02,591.6,4.051
